Country;area;lat;long;Area
Canada;7990300;59,95716468;-112,3856257;799,03
China;7614543;36,4203449;103,6295573;761,4543
India;5762000;23,31625994;78,59891928;576,2
France;1550720;46,87244853;2,441405453;155,072
Germany;1325700;51,29646377;10,36228733;132,57
Australia;2357000;-23,74736597;133,8264468;235,7
Poland;826946;52,59509389;18,97692271;82,6946
United Kingdom;579000;54,11556889;-1,961630225;57,9
United States;686440;41,0153035;-103,8765611;68,644
Czech Republic;392991;49,79630555;15,07786362;39,2991
Romania;455048;45,98106557;24,94138857;45,5048
Ukraine;449930;49,16201896;31,61326115;44,993
Russia;911849;64,70468139;93,36015316;91,1849
Hungary;222085;47,16168501;19,08573535;22,2085
